,time,open,high,low,close,volume,start
0,1636570800000.0,1.8524,1.8648,1.8513,1.8642,2181408.0,2021-11-10 19:00:00
1,1636571700000.0,1.8643,1.8648,1.8505,1.8535,1450240.0,2021-11-10 19:15:00
2,1636572600000.0,1.8535,1.8552,1.8254,1.8301,5821705.0,2021-11-10 19:30:00
3,1636573500000.0,1.8301,1.8345,1.78,1.7849,11469707.0,2021-11-10 19:45:00
4,1636574400000.0,1.785,1.7916,1.7453,1.7721,16357414.0,2021-11-10 20:00:00
5,1636575300000.0,1.772,1.7992,1.7651,1.7936,5314296.0,2021-11-10 20:15:00
6,1636576200000.0,1.7936,1.8044,1.7709,1.771,5490287.0,2021-11-10 20:30:00
7,1636577100000.0,1.7709,1.7833,1.65,1.7182,32918391.0,2021-11-10 20:45:00
8,1636578000000.0,1.7177,1.7391,1.7014,1.7217,10380858.0,2021-11-10 21:00:00
9,1636578900000.0,1.7217,1.7221,1.51,1.5984,52083532.0,2021-11-10 21:15:00
10,1636579800000.0,1.5987,1.6447,1.5857,1.6423,28602521.0,2021-11-10 21:30:00
11,1636580700000.0,1.6428,1.6439,1.6041,1.616,16777012.0,2021-11-10 21:45:00
12,1636581600000.0,1.6156,1.6605,1.59,1.6573,14966076.0,2021-11-10 22:00:00
13,1636582500000.0,1.6571,1.6578,1.6355,1.6499,6189894.0,2021-11-10 22:15:00
14,1636583400000.0,1.6497,1.6744,1.6494,1.6727,4857403.0,2021-11-10 22:30:00
15,1636584300000.0,1.6724,1.6966,1.6707,1.6929,5098652.0,2021-11-10 22:45:00
16,1636585200000.0,1.6929,1.6929,1.6727,1.6854,4091078.0,2021-11-10 23:00:00
17,1636586100000.0,1.6851,1.6856,1.666,1.6775,4855897.0,2021-11-10 23:15:00
18,1636587000000.0,1.6775,1.6914,1.6645,1.6896,3855576.0,2021-11-10 23:30:00
19,1636587900000.0,1.6896,1.7091,1.6874,1.6995,4632144.0,2021-11-10 23:45:00
20,1636588800000.0,1.6993,1.7066,1.6763,1.6853,6792811.0,2021-11-11 00:00:00
21,1636589700000.0,1.6853,1.6901,1.6671,1.6878,3869622.0,2021-11-11 00:15:00
22,1636590600000.0,1.6877,1.69,1.675,1.6824,2027421.0,2021-11-11 00:30:00
23,1636591500000.0,1.6828,1.7149,1.6819,1.7146,3345065.0,2021-11-11 00:45:00
24,1636592400000.0,1.7147,1.7202,1.7007,1.706,3261171.0,2021-11-11 01:00:00
25,1636593300000.0,1.7059,1.7088,1.6899,1.6929,2984932.0,2021-11-11 01:15:00
26,1636594200000.0,1.6928,1.698,1.6888,1.6934,1886918.0,2021-11-11 01:30:00
27,1636595100000.0,1.6935,1.7099,1.6919,1.7012,2256576.0,2021-11-11 01:45:00
28,1636596000000.0,1.7011,1.7011,1.684,1.6868,1806002.0,2021-11-11 02:00:00
29,1636596900000.0,1.6868,1.6969,1.6769,1.6774,2681136.0,2021-11-11 02:15:00
30,1636597800000.0,1.6773,1.6799,1.6632,1.6734,3243347.0,2021-11-11 02:30:00
31,1636598700000.0,1.6733,1.6921,1.6704,1.692,1739402.0,2021-11-11 02:45:00
32,1636599600000.0,1.692,1.6921,1.6836,1.6896,1515469.0,2021-11-11 03:00:00
33,1636600500000.0,1.6901,1.7042,1.6883,1.7032,1895255.0,2021-11-11 03:15:00
34,1636601400000.0,1.7031,1.7045,1.6929,1.7013,2359863.0,2021-11-11 03:30:00
35,1636602300000.0,1.7011,1.7119,1.7005,1.7059,1939785.0,2021-11-11 03:45:00
36,1636603200000.0,1.7059,1.7094,1.6966,1.7065,2087878.0,2021-11-11 04:00:00
37,1636604100000.0,1.7066,1.7087,1.7002,1.701,1395227.0,2021-11-11 04:15:00
38,1636605000000.0,1.7008,1.7067,1.6964,1.6982,1296251.0,2021-11-11 04:30:00
39,1636605900000.0,1.698,1.7101,1.6934,1.7084,1215574.0,2021-11-11 04:45:00
40,1636606800000.0,1.7084,1.7215,1.7058,1.7199,2355324.0,2021-11-11 05:00:00
41,1636607700000.0,1.7198,1.7256,1.715,1.7243,1788242.0,2021-11-11 05:15:00
42,1636608600000.0,1.7247,1.7296,1.7203,1.7251,1938352.0,2021-11-11 05:30:00
43,1636609500000.0,1.7252,1.7353,1.722,1.7348,1689838.0,2021-11-11 05:45:00
44,1636610400000.0,1.735,1.7362,1.7259,1.7347,1793203.0,2021-11-11 06:00:00
45,1636611300000.0,1.7347,1.7349,1.7238,1.7303,1560469.0,2021-11-11 06:15:00
46,1636612200000.0,1.7302,1.7384,1.728,1.7321,1282680.0,2021-11-11 06:30:00
47,1636613100000.0,1.7321,1.7397,1.7301,1.7391,1834095.0,2021-11-11 06:45:00
48,1636614000000.0,1.7391,1.7457,1.7346,1.7427,2280603.0,2021-11-11 07:00:00
49,1636614900000.0,1.7428,1.7496,1.7415,1.7449,2413984.0,2021-11-11 07:15:00
50,1636615800000.0,1.7446,1.7498,1.7414,1.7449,1804378.0,2021-11-11 07:30:00
51,1636616700000.0,1.745,1.7519,1.7441,1.7492,1735209.0,2021-11-11 07:45:00
52,1636617600000.0,1.7492,1.7518,1.7228,1.7248,3584732.0,2021-11-11 08:00:00
53,1636618500000.0,1.7249,1.7374,1.7231,1.7233,2393020.0,2021-11-11 08:15:00
54,1636619400000.0,1.7233,1.7283,1.714,1.7259,2876105.0,2021-11-11 08:30:00
55,1636620300000.0,1.7261,1.7467,1.7246,1.7458,2797364.0,2021-11-11 08:45:00
56,1636621200000.0,1.7461,1.747,1.7312,1.7369,2213992.0,2021-11-11 09:00:00
57,1636622100000.0,1.737,1.7498,1.731,1.7498,2141690.0,2021-11-11 09:15:00
58,1636623000000.0,1.7498,1.7504,1.7424,1.7446,1473486.0,2021-11-11 09:30:00
59,1636623900000.0,1.7444,1.7791,1.7443,1.7695,5812610.0,2021-11-11 09:45:00
60,1636624800000.0,1.7695,1.7792,1.76,1.7645,4912717.0,2021-11-11 10:00:00
61,1636625700000.0,1.7646,1.7674,1.7561,1.7592,3151527.0,2021-11-11 10:15:00
62,1636626600000.0,1.759,1.7591,1.7478,1.7575,3183277.0,2021-11-11 10:30:00
63,1636627500000.0,1.7575,1.7586,1.7462,1.7479,1303595.0,2021-11-11 10:45:00
64,1636628400000.0,1.7478,1.7497,1.7409,1.745,1661090.0,2021-11-11 11:00:00
65,1636629300000.0,1.745,1.7546,1.7431,1.7528,1429048.0,2021-11-11 11:15:00
66,1636630200000.0,1.7527,1.7566,1.741,1.7413,1280040.0,2021-11-11 11:30:00
67,1636631100000.0,1.7412,1.7466,1.7366,1.7465,1655434.0,2021-11-11 11:45:00
68,1636632000000.0,1.7463,1.7525,1.7307,1.7317,2417674.0,2021-11-11 12:00:00
