,start,open,high,low,close,volume,trades
0,2021-10-28 20:30:00,2.04,2.05,2.034,2.044,3548098.8,9445.0
1,2021-10-28 20:45:00,2.043,2.07,2.035,2.069,5859033.3,43479.0
2,2021-10-28 21:00:00,2.069,2.073,2.034,2.053,5349900.0,37514.0
3,2021-10-28 21:15:00,2.054,2.082,2.052,2.056,3451160.0,21853.0
4,2021-10-28 21:30:00,2.056,2.075,2.036,2.038,2914963.8,13014.0
5,2021-10-28 21:45:00,2.037,2.046,2.026,2.043,1963353.6,13248.0
6,2021-10-28 22:00:00,2.042,2.053,2.021,2.028,2100820.5,8431.0
7,2021-10-28 22:15:00,2.028,2.077,2.027,2.072,2908222.0,15690.0
8,2021-10-28 22:30:00,2.072,2.078,2.054,2.066,2309330.7,10154.0
9,2021-10-28 22:45:00,2.067,2.069,2.045,2.058,2305126.6,7351.0
10,2021-10-28 23:00:00,2.058,2.079,2.057,2.076,2469102.9,10514.0
11,2021-10-28 23:15:00,2.076,2.136,2.074,2.134,8479522.6,114249.0
12,2021-10-28 23:30:00,2.134,2.178,2.119,2.125,12046358.0,108610.0
13,2021-10-28 23:45:00,2.125,2.135,2.103,2.134,4043394.4,23358.0
14,2021-10-29 00:00:00,2.134,2.217,2.13,2.189,15064676.2,139506.0
15,2021-10-29 00:15:00,2.19,2.22,2.163,2.18,8191832.1,64193.0
16,2021-10-29 00:30:00,2.181,2.185,2.154,2.176,3588145.4,19120.0
17,2021-10-29 00:45:00,2.175,2.194,2.162,2.17,3979804.6,10638.0
18,2021-10-29 01:00:00,2.17,2.173,2.124,2.127,6196287.8,31968.0
19,2021-10-29 01:15:00,2.127,2.168,2.126,2.157,4229979.4,18349.0
20,2021-10-29 01:30:00,2.156,2.169,2.143,2.15,2687562.2,10896.0
21,2021-10-29 01:45:00,2.15,2.151,2.107,2.121,3293700.3,24773.0
22,2021-10-29 02:00:00,2.121,2.132,2.103,2.121,2510074.0,12432.0
23,2021-10-29 02:15:00,2.122,2.126,2.096,2.102,1923266.9,13343.0
24,2021-10-29 02:30:00,2.103,2.103,2.071,2.081,2783281.9,20525.0
25,2021-10-29 02:45:00,2.08,2.086,2.065,2.073,1918724.5,10278.0
26,2021-10-29 03:00:00,2.073,2.089,2.065,2.07,2147930.7,9213.0
27,2021-10-29 03:15:00,2.069,2.075,2.052,2.065,2705143.9,16131.0
28,2021-10-29 03:30:00,2.066,2.069,2.047,2.048,1560141.9,7416.0
29,2021-10-29 03:45:00,2.049,2.073,2.036,2.071,2341192.3,17593.0
30,2021-10-29 04:00:00,2.07,2.087,2.057,2.058,2730806.3,10786.0
31,2021-10-29 04:15:00,2.057,2.084,2.055,2.074,2382701.5,7234.0
32,2021-10-29 04:30:00,2.074,2.076,2.04,2.045,2015802.3,8621.0
33,2021-10-29 04:45:00,2.047,2.083,2.036,2.074,2362902.1,10129.0
34,2021-10-29 05:00:00,2.075,2.079,2.054,2.068,1717923.3,5055.0
35,2021-10-29 05:15:00,2.068,2.069,2.023,2.045,6344992.9,17540.0
36,2021-10-29 05:30:00,2.044,2.06,2.031,2.036,4947370.2,9125.0
37,2021-10-29 05:45:00,2.035,2.063,2.035,2.051,5258629.4,9144.0
38,2021-10-29 06:00:00,2.051,2.066,2.034,2.05,4604379.1,8913.0
39,2021-10-29 06:15:00,2.05,2.062,2.037,2.041,2947331.7,7959.0
40,2021-10-29 06:30:00,2.042,2.057,2.041,2.053,1187452.3,5541.0
41,2021-10-29 06:45:00,2.054,2.062,2.042,2.044,2351476.0,6725.0
